Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2021-03-19T03:29:24.704Z
NFAPPL-02-IPHONE11=2-4B59823EADF2B512F18C4F2D672C9EE9D6D2F1F6A158CB1B22BD7F1071017E02,US,Apple iPhone XS,Apple iPhone XS,2607:fb90:46a:5c74:f981:66f4:ae82:14a4,California,2021-03-19T01:48:14.640Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:75d7:fa4c:801f:c0d1,California,2021-03-18T21:17:33.079Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:edd2:e5b6:aca3:9e8b,California,2021-03-13T03:45:00.465Z
NFAPPL-02-IPHONE11=2-4B59823EADF2B512F18C4F2D672C9EE9D6D2F1F6A158CB1B22BD7F1071017E02,US,Apple iPhone XS,Apple iPhone XS,2601:204:e000:feb0:6ddd:a67f:654:cbb,California,2021-02-22T03:11:27.335Z
NFANDROID2-PRV-FIRETVSTICK2020-AMAZOAFTSS-17689-07E83E675F47DE5C0216BFBCB10F3768627749358051EA627D012F186CFBF7DD,US,Amazon Fire TV Stick 2020 Lite Streaming Stick,Amazon Fire TV Stick 2020 Lite Streaming Stick,73.12.140.194,California,2021-02-17T04:08:05.675Z
NFANDROID1-PRV-P-SAMSUSM-G975U-7176-0485DFC5D89D29DD528C547E88F650BCB57F17F54C7C3E6C1C267D4E78C27AE23,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2601:204:e000:feb0:9d5b:3505:5cf5:55e2,California,2021-02-07T17:10:15.290Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:404f:c280:c2e9:af24,California,2021-01-21T00:05:12.479Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2021-01-20T21:29:00.911Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:1871:76c9:b009:8067,California,2021-01-19T20:03:09.682Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2021-01-19T19:19:16.210Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:7911:b2dc:104c:35c9,California,2021-01-12T23:17:29.372Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2021-01-12T16:30:25.852Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:1dfe:5077:dfde:3dea,California,2021-01-09T03:58:12.808Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:dac:40e1:e793:7a1d,California,2021-01-09T01:53:36.439Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-12-26T01:47:09.621Z
NFAPPL-01-IPAD11=6-193DAB34ACDA31403FA4ECB5A56CF9F11A90C78666279F0A0B89FB944F3ADE14,US,Apple iPad 10.2 inch 8th Gen Wi-Fi iPad,Apple iPad 10.2 inch 8th Gen Wi-Fi iPad,184.23.254.228,California,2020-12-16T17:02:39.125Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-12-07T18:13:52.873Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:95d6:fa3f:902e:8eff,California,2020-12-04T02:27:35.378Z
NFAPPL-02-IPHONE11=2-4B59823EADF2B512F18C4F2D672C9EE9D6D2F1F6A158CB1B22BD7F1071017E02,US,Apple iPhone XS,Apple iPhone XS,2601:204:e000:feb0:b1b4:34c5:6c46:fc36,California,2020-12-03T04:00:54.522Z
NFAPPL-02-IPHONE11=2-4B59823EADF2B512F18C4F2D672C9EE9D6D2F1F6A158CB1B22BD7F1071017E02,US,Apple iPhone XS,Apple iPhone XS,2601:204:e000:feb0:64bc:51b9:8ee3:4a26,California,2020-12-03T03:55:01.491Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:95d6:fa3f:902e:8eff,California,2020-12-01T03:41:07.018Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-11-22T03:16:25.646Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-11-21T05:15:52.264Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:5136:61bc:570:d6e6,California,2020-11-18T01:18:03.394Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-11-17T22:21:14.073Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:1fe:54ff:4913:495f,California,2020-11-17T20:48:57.957Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-11-16T22:35:45.162Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-11-11T05:20:43.001Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:d842:c991:ca90:3744,California,2020-11-11T04:17:28.719Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-11-10T23:28:52.149Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-11-04T23:05:39.396Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:40cf:c642:8e1b:8d92,California,2020-11-04T22:32:34.174Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:34ca:a155:6d2e:c0f9,California,2020-10-27T19:06:30.733Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-10-26T03:24:44.414Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:95bc:112:a2c5:f394,California,2020-10-26T02:25:33.805Z
RKU-CXXXXDX0010004USX7,US,Roku TV CXXXX,TCL Malone DV Smart TV,73.12.140.194,California,2020-10-25T18:41:35.743Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:642e:ea14:6df6:c555,California,2020-10-24T04:57:21.912Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-10-24T03:51:11.103Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:dbe:70cd:9166:190b,California,2020-10-24T02:54:01.708Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-10-20T21:38:14.338Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:15cb:e0ca:82cb:be2a,California,2020-10-20T15:44:32.376Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-10-17T05:32:19.314Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:547b:ade5:5ef0:3b9e,California,2020-10-17T02:42:18.365Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:94ba:49f6:8319:91b6,California,2020-10-16T01:49:28.295Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-10-11T03:33:16.043Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-10-10T03:31:21.825Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:65a0:d1f8:68d2:eaad,California,2020-10-05T02:39:12.305Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-10-04T03:12:30.990Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2601:645:501:d040:c68:6193:e3a2:9bee,California,2020-09-27T02:49:14.649Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-09-20T03:34:57.478Z
NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,US,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,67.188.97.28,California,2020-09-19T05:14:37.822Z
NFANDROID1-PRV-T-L3-SAMSUSAMSUNG-SM-T377A-4445-03F2A4DA91356CD84C90888DE6B40A3E4473F08F669749A96F94DEFBD1CE75943,US,Android DefaultWidevineL3Tablet Android Tablet,Android DefaultWidevineL3Tablet Android Tablet,2601:204:e000:feb0:84ff:8f30:84a:a39f,California,2020-09-16T14:18:06.789Z
NFANDROID1-PRV-P-SAMSUSM-G975U-7176-0485DFC5D89D29DD528C547E88F650BCB57F17F54C7C3E6C1C267D4E78C27AE23,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2601:204:e000:feb0:f4b0:6ed9:e550:485,California,2020-07-14T03:22:37.653Z
CMCSTX1005-000D010D033E31C4-E03717DA5415,US,Comcast X1 ARM 4K MVPD STB,Comcast X1 ARM 4K MVPD STB,73.12.140.194,California,2020-07-09T01:56:09.850Z
CMCSTX1005-000D010D033E31C4-E03717DA5415,US,Comcast X1 ARM 4K MVPD STB,Comcast X1 ARM 4K MVPD STB,2601:204:e000:feb0:e237:17ff:feda:5413,California,2020-07-06T04:46:38.711Z
NFAPPL-02-IPHONE11=2-4B59823EADF2B512F18C4F2D672C9EE9D6D2F1F6A158CB1B22BD7F1071017E02,US,Apple iPhone XS,Apple iPhone XS,2601:204:e000:feb0:c19:4d2b:97e9:1998,California,2020-06-13T14:44:49.816Z
LGTV2016D=D1001662193,US,LG 2016 MStar M2 Low DTV Smart TV,LG 2016 MStar M2 Low DTV Smart TV,67.188.97.28,California,2020-06-08T01:35:51.844Z
RKU-CXXXXDX00100FJXUFN,US,Roku TV CXXXX,TCL Malone DV Smart TV,73.12.140.194,California,2020-05-18T20:27:51.381Z
RKU-CXXXXDX00100FJXUFN,US,Roku TV CXXXX,TCL Malone DV Smart TV,73.90.15.218,California,2020-05-01T21:43:59.662Z
NFANDROID1-PRV-P-SAMSUSM-G975U-7176-0485DFC5D89D29DD528C547E88F650BCB57F17F54C7C3E6C1C267D4E78C27AE23,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2601:204:e000:feb0:f5ce:e2e5:de0:d66d,California,2020-04-11T23:55:42.450Z
NFUWA-001-06FD9306A7B5DB36C8355F99A962E7AF1277B02EAF7D2379A5916A53A388B7A0,US,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,73.90.15.218,California,2020-03-19T22:17:58.729Z
CMCSTX1005-000D010D033E31C4-E03717DA5415,US,Comcast X1 ARM 4K MVPD STB,Comcast X1 ARM 4K MVPD STB,2601:204:e000:feb0:e237:17ff:feda:5413,California,2020-02-21T05:04:55.042Z
RKU-CXXXXDX0010004USX7,US,Roku TV CXXXX,TCL Malone DV Smart TV,73.12.140.194,California,2020-02-15T21:23:50.386Z
CMCSTX1001-00000104020B29C5-CC65AD8E5E08,US,Comcast X1 MIPS NO SAGE MVPD STB,Comcast X1 MIPS NO SAGE MVPD STB,2001:558:5020:64:2c2e:b390:2604:bd8b,New Jersey,2020-02-11T04:11:18.707Z
NFANDROID1-PRV-T-L3-SAMSUSAMSUNG-SM-T377A-4445-03F2A4DA91356CD84C90888DE6B40A3E4473F08F669749A96F94DEFBD1CE75943,US,Android DefaultWidevineL3Tablet Android Tablet,Android DefaultWidevineL3Tablet Android Tablet,2602:306:cc2e:28f0:4134:dff4:7458:210f,California,2020-01-29T06:17:15.140Z
NFANDROID1-PRV-P-SAMSUSM-G975U-7176-0485DFC5D89D29DD528C547E88F650BCB57F17F54C7C3E6C1C267D4E78C27AE23,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2600:1008:b121:9bbe:4d71:9860:9526:fb93,Illinois,2020-01-08T12:35:40.158Z
NFANDROID1-PRV-P-SAMSUSM-G975U-7176-0485DFC5D89D29DD528C547E88F650BCB57F17F54C7C3E6C1C267D4E78C27AE23,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2600:1008:b121:9bbe:4d71:9860:9526:fb93,Illinois,2020-01-08T12:35:09.038Z
NFANDROID1-PRV-P-SAMSUSM-G975U-7176-0485DFC5D89D29DD528C547E88F650BCB57F17F54C7C3E6C1C267D4E78C27AE23,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2600:1008:b121:9bbe:4d71:9860:9526:fb93,Illinois,2020-01-08T12:34:41.276Z
NFANDROID1-PRV-T-L3-SAMSUSAMSUNG-SM-T377A-4445-03F2A4DA91356CD84C90888DE6B40A3E4473F08F669749A96F94DEFBD1CE75943,US,Android DefaultWidevineL3Tablet Android Tablet,Android DefaultWidevineL3Tablet Android Tablet,12.205.202.11,Illinois,2020-01-08T03:55:26.150Z
NFANDROID1-PRV-P-SAMSUSM-G975U-7176-0485DFC5D89D29DD528C547E88F650BCB57F17F54C7C3E6C1C267D4E78C27AE23,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,96.87.117.189,Illinois,2020-01-07T05:26:17.017Z
NFANDROID1-PRV-T-L3-SAMSUSAMSUNG-SM-T377A-4445-03F2A4DA91356CD84C90888DE6B40A3E4473F08F669749A96F94DEFBD1CE75943,US,Android DefaultWidevineL3Tablet Android Tablet,Android DefaultWidevineL3Tablet Android Tablet,12.205.202.11,Illinois,2020-01-07T01:17:15.956Z
RKU-CXXXXDX0010004USX7,US,Roku TV CXXXX,TCL Malone DV Smart TV,108.194.226.143,California,2019-12-29T04:30:13.970Z
NFUWA-001-06FD9306A7B5DB36C8355F99A962E7AF1277B02EAF7D2379A5916A53A388B7A0,US,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,73.90.15.218,California,2019-11-27T02:24:34.840Z
NFANDROID1-PRV-T-L3-SAMSUSAMSUNG-SM-T377A-4445-03F2A4DA91356CD84C90888DE6B40A3E4473F08F669749A96F94DEFBD1CE75943,US,Android DefaultWidevineL3Tablet Android Tablet,Android DefaultWidevineL3Tablet Android Tablet,2602:306:cc2e:28f0:fc15:5cc1:53f7:6ef9,California,2019-11-24T06:01:44.311Z
RKU-CXXXXDX00100FJXUFN,US,Roku TV CXXXX,TCL Malone DV Smart TV,73.90.15.218,California,2019-10-06T20:05:55.710Z
NFANDROID1-PRV-T-L3-SAMSUSAMSUNG-SM-T377A-4445-03F2A4DA91356CD84C90888DE6B40A3E4473F08F669749A96F94DEFBD1CE75943,US,Android DefaultWidevineL3Tablet Android Tablet,Android DefaultWidevineL3Tablet Android Tablet,2602:306:cc2e:28f0:5983:14ab:d9a1:1a11,California,2019-05-19T18:29:04.289Z
NFANDROID1-PRV-T-L3-SAMSUSAMSUNG-SM-T377A-4445-03F2A4DA91356CD84C90888DE6B40A3E4473F08F669749A96F94DEFBD1CE75943,US,Android DefaultWidevineL3Tablet Android Tablet,Android DefaultWidevineL3Tablet Android Tablet,2602:306:cc2e:28f0:b4cb:6a36:49de:5c5,California,2019-05-03T01:51:52.329Z
NFANDROID1-PRV-T-L3-SAMSUSAMSUNG-SM-T377A-4445-03F2A4DA91356CD84C90888DE6B40A3E4473F08F669749A96F94DEFBD1CE75943,US,Android DefaultWidevineL3Tablet Android Tablet,Android DefaultWidevineL3Tablet Android Tablet,2602:306:cc2e:28f0:5c5d:39bd:196d:cea4,California,2018-12-02T06:46:42.407Z
NFANDROID1-PRV-T-L3-SAMSUSAMSUNG-SM-T377A-4445-03F2A4DA91356CD84C90888DE6B40A3E4473F08F669749A96F94DEFBD1CE75943,US,Android DefaultWidevineL3Tablet Android Tablet,Android DefaultWidevineL3Tablet Android Tablet,136.179.21.78,Nevada,2018-11-29T04:35:45.371Z
NFANDROID1-PRV-T-L3-SAMSUSAMSUNG-SM-T377A-4445-03F2A4DA91356CD84C90888DE6B40A3E4473F08F669749A96F94DEFBD1CE75943,US,Android DefaultWidevineL3Tablet Android Tablet,Android DefaultWidevineL3Tablet Android Tablet,136.179.21.78,Nevada,2018-11-27T05:52:51.696Z
LGTV2016D=D1001662193,US,LG 2016 MStar M2 Low DTV Smart TV,LG 2016 MStar M2 Low DTV Smart TV,24.5.48.232,California,2017-09-03T02:22:16.685Z
LGTV2016D=D1001662193,US,LG 2016 MStar M2 Low DTV Smart TV,LG 2016 MStar M2 Low DTV Smart TV,24.5.48.232,California,2017-05-02T05:03:07.753Z
LGTV2016D=D1001662193,US,LG 2016 MStar M2 Low DTV Smart TV,LG 2016 MStar M2 Low DTV Smart TV,104.176.2.3,California,2017-05-01T04:39:02.696Z
LGTV2016D=D1001662193,US,LG 2016 MStar M2 Low DTV Smart TV,LG 2016 MStar M2 Low DTV Smart TV,104.176.2.3,California,2017-03-27T05:23:42.175Z
LGTV2016D=D1001662193,US,LG 2016 MStar M2 Low DTV Smart TV,LG 2016 MStar M2 Low DTV Smart TV,208.75.77.65,California,2017-03-27T04:41:31.099Z
LGTV2016D=D1001662193,US,LG 2016 MStar M2 Low DTV Smart TV,LG 2016 MStar M2 Low DTV Smart TV,104.176.2.3,California,2017-03-27T02:16:59.391Z
LGTV2016D=D1001662193,US,LG 2016 MStar M2 Low DTV Smart TV,LG 2016 MStar M2 Low DTV Smart TV,104.176.2.3,California,2017-03-24T03:48:42.280Z
LGTV2016D=D1001662193,US,LG 2016 MStar M2 Low DTV Smart TV,LG 2016 MStar M2 Low DTV Smart TV,98.234.229.82,California,2017-03-15T04:25:59.657Z
LGTV2016D=D1001662193,US,LG 2016 MStar M2 Low DTV Smart TV,LG 2016 MStar M2 Low DTV Smart TV,98.234.229.82,California,2017-01-02T00:36:40.234Z
